"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q8VHJ5","MARK1","Mark1","3","0.616","0.341","1.806","0.0710","0.375"
"P39688","Fyn","Fyn","7","0.254","0.145","1.753","0.0796","0.375"
"O70126","AurB","Aurkb","4","0.266","0.153","1.746","0.0808","0.375"
"P00520","Abl","Abl1","3","-0.401","0.23","-1.742","0.0816","0.375"
"P06240","Lck","Lck","2","0.231","0.134","1.725","0.0845","0.375"
"P43404","ZAP70","Zap70","3","0.215","0.125","1.717","0.0860","0.375"
"P48025","Syk","Syk","3","0.215","0.125","1.717","0.0860","0.375"
"Q9JLN9","mTOR","Mtor","31","0.161","0.095","1.693","0.0905","0.381"
"P23298","PKCH","Prkch","1","0.158","0.094","1.67","0.0949","0.381"
"Q9WV60","GSK3B","Gsk3b","14","0.2","0.12","1.663","0.0964","0.381"
"P06803","Pim1","Pim1","2","0.178","0.108","1.646","0.0997","0.381"
"P28867","PKCD","Prkcd","14","0.131","0.081","1.615","0.106","0.381"
"Q62120","JAK2","Jak2","3","0.351","0.218","1.614","0.107","0.381"
"P52332","JAK1","Jak1","1","0.652","0.408","1.596","0.110","0.381"
"Q9R117","Tyk2","Tyk2","1","0.652","0.408","1.596","0.110","0.381"
"P53349","MEKK1","Map3k1","3","0.184","0.119","1.548","0.122","0.382"
"P00536","MOS","Mos","1","0.292","0.19","1.537","0.124","0.382"
"Q07174","Cot","Map3k8","1","0.292","0.19","1.537","0.124","0.382"
"Q99N57","RAF1","Raf1","1","0.292","0.19","1.537","0.124","0.382"
"Q00342","FLT3","Flt3","4","0.197","0.129","1.53","0.126","0.382"
"P08414","CAMK4","Camk4","1","-0.407","0.268","-1.521","0.128","0.382"
"P31938","MEK1","Map2k1","3","0.273","0.181","1.504","0.133","0.386"
"Q8BRK8","AMPKA2","Prkaa2","3","0.323","0.231","1.397","0.162","0.460"
"Q8C050","MSK1","Rps6ka5","8","0.144","0.104","1.389","0.165","0.460"
"P58750","Pim3","Pim3","1","0.129","0.096","1.345","0.179","0.477"
"P68181","PKACB","Prkacb","1","0.129","0.096","1.345","0.179","0.477"
"Q8BSK8","p70S6K","Rps6kb1","10","0.146","0.111","1.31","0.190","0.488"
"Q5U4C9","DYRK2","Dyrk2","5","0.271","0.208","1.305","0.192","0.488"
"P97377","CDK2","Cdk2","26","0.13","0.1","1.3","0.194","0.488"
"P35546","Ret","Ret","1","0.263","0.211","1.247","0.213","0.516"
